,HJ2A_1,HJ2A_2,HJ2A_3,HJ2A_4,HJ2A_5
525,0.05546,0.0878,0.1057,0.02865,0.09095
526,0.05443,0.08476,0.10581,0.03354,0.0935
527,0.05428,0.08784,0.1084,0.02969,0.09343
528,0.06624,0.10041,0.12554,0.05776,0.118
529,0.05723,0.09117,0.11568,0.04687,0.10713
530,0.0635,0.09824,0.12342,0.05259,0.11578
531,0.05308,0.0871,0.11036,0.03742,0.09921
532,0.05968,0.09374,0.11969,0.04952,0.11076
533,0.05462,0.08593,0.11048,0.04115,0.1008
534,0.06083,0.09368,0.11982,0.04912,0.11189
535,0.05664,0.08914,0.11536,0.04524,0.1067
536,0.05873,0.08917,0.11419,0.04644,0.10635
537,0.05562,0.08705,0.11304,0.04328,0.10431
538,0.06383,0.09503,0.11939,0.05209,0.11195
539,0.05914,0.09037,0.11437,0.04421,0.10484
540,0.06649,0.10424,0.13601,0.05922,0.12923
541,0.0621,0.09802,0.12919,0.05328,0.1214
542,0.0557,0.08542,0.1106,0.05332,0.1065
543,0.05797,0.09423,0.12586,0.04917,0.11738
544,0.05919,0.09217,0.12034,0.05298,0.11493
545,0.06381,0.09777,0.12919,0.05863,0.12442
546,0.05729,0.08931,0.11962,0.05936,0.11669
547,0.13137,0.14185,0.15573,0.0635,0.14249
548,0.05682,0.08959,0.12104,0.06069,0.1151
549,0.01877,0.02619,0.0337,0.00943,0.02929
550,0.03081,0.04952,0.06953,0.02634,0.06222
551,0.0425,0.0599,0.07552,0.039,0.07075
552,0.04063,0.05797,0.07671,0.03984,0.07333
553,0.05839,0.09214,0.12759,0.07263,0.12464
554,0.0608,0.08885,0.11984,0.07763,0.11972
555,0.05904,0.08822,0.11883,0.07541,0.11799
556,0.0544,0.08159,0.11017,0.06911,0.10921
557,0.05294,0.07548,0.09932,0.06963,0.0997
558,0.04134,0.0524,0.06137,0.04182,0.05955
559,0.03968,0.05447,0.06702,0.03767,0.06422
560,0.03363,0.0401,0.04074,0.01596,0.03501
561,0.0469,0.05695,0.06217,0.03357,0.05707
562,0.04737,0.05863,0.06195,0.03514,0.05604
563,0.0561,0.08376,0.11575,0.08957,0.11938
564,0.05658,0.08547,0.11862,0.08826,0.12152
565,0.11258,0.15249,0.19645,0.16225,0.20129
566,0.05698,0.09011,0.12705,0.09342,0.13064
567,0.04889,0.07714,0.10969,0.0776,0.11282
568,0.06825,0.10416,0.14335,0.10726,0.14681
569,0.05039,0.07936,0.11103,0.06687,0.1108
570,0.04664,0.0747,0.1057,0.06577,0.10635
571,0.05558,0.08549,0.11444,0.05773,0.10846
572,0.05373,0.08033,0.10792,0.06809,0.10697
573,0.0507,0.07826,0.10667,0.0566,0.10341
574,0.05196,0.07964,0.10981,0.06729,0.10938
575,0.03034,0.03741,0.04401,0.02554,0.04218
576,0.02609,0.0316,0.03674,0.01929,0.03473
577,0.05424,0.08281,0.11533,0.07875,0.11731
578,0.05097,0.07831,0.1087,0.06751,0.1087
579,0.05395,0.08404,0.11867,0.08454,0.12163
580,0.05508,0.08403,0.1174,0.08303,0.12006
581,0.05424,0.08344,0.11787,0.08452,0.12088
582,0.05061,0.07849,0.10994,0.0803,0.11224
583,0.05218,0.072,0.09325,0.07233,0.09483
584,0.03811,0.05,0.05992,0.03978,0.05824
585,0.043,0.05259,0.0618,0.0422,0.06031
